title,doi,authors,year,sources,query_groups,cluster_size,venue,primary_venue
$T^3$: Multi-level Tree-based Automatic Program Repair with Large Language Models,,Quanming Liu; Xupeng Bu; Zhichao Yan; Ru Li,2025,arXiv,SE-G1 AND AI-G1,1,cs.SE,arXiv
A 2030 Roadmap for Software Engineering,10.1145/3731559,"Pezzè, Mauro and Abrahão, Silvia and Penzenstadler, Birgit and Poshyvanyk, Denys and Roychoudhury, Abhik and Yue, Tao",2025,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,ACM Trans. Softw. Eng. Methodol.,TOSEM
A Benchmark for Evaluating Repository-Level Code Agents with Intermediate Reasoning on Feature Addition Task,,Shuhan Liu; Zhiyi Zhao; Xing Hu; Kui Liu; Xiaohu Yang; Xin Xia,2026,arXiv,SE-G2 AND AI-G2,1,cs.SE,arXiv
A Benchmark for Localizing Code and Non-Code Issues in Software Projects,,Zejun Zhang; Jian Wang; Qingyun Yang; Yifan Pan; Yi Tang; Yi Li; Zhenchang Xing; Tian Zhang; Xuandong Li; Guoan Zhang,2025,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE,arXiv
A Catalog of Data Smells for Coding Tasks,10.1145/3707457,"Vitale, Antonio and Oliveto, Rocco and Scalabrino, Simone",2025,ACM,SE-G1 AND AI-G1,1,ACM Trans. Softw. Eng. Methodol.,TOSEM
A Comprehensive Empirical Evaluation of Agent Frameworks on Code-centric Software Engineering Tasks,,Zhuowen Yin; Cuifeng Gao; Chunsong Fan; Wenzhang Yang; Yinxing Xue; Lijun Zhang,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,cs.SE,arXiv
A Comprehensive Evaluation of Parameter-Efficient Fine-Tuning on Code Smell Detection,10.1145/3806390,"Zhang, Beiqi and Liang, Peng and Zhou, Xin and Zhou, Xiyu and Lo, David and Feng, Qiong and Li, Zengyang and Li, Lin",2026,ACM,SE-G1 AND AI-G1,1,ACM Trans. Softw. Eng. Methodol.,TOSEM
A Comprehensive Study of Governance Issues in Decentralized Finance Applications,10.1145/3717062,"Ma, Wei and Zhu, Chenguang and Liu, Ye and Xie, Xiaofei and Li, Yi",2025,ACM,SE-G1 AND AI-G1,1,ACM Trans. Softw. Eng. Methodol.,TOSEM
A Comprehensive Study on Large Language Models for Mutation Testing,10.1145/3805038,"Wang, Bo and Chen, Mingda and Deng, Ming and Lin, Youfang and Harman, Mark and Papadakis, Mike and Zhang, Jie M.",2026,ACM,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,3,ACM Trans. Softw. Eng. Methodol.,TOSEM
A Comprehensive Survey of AI-Driven Advancements and Techniques in Automated Program Repair and Code Generation,,Avinash Anand; Akshit Gupta; Nishchay Yadav; Shaurya Bajaj,2024,arXiv,SE-G1 AND AI-G1,1,cs.AI,arXiv
A Critical Review of Large Language Model on Software Engineering: An Example from ChatGPT and Automated Program Repair,,Quanjun Zhang; Tongke Zhang; Juan Zhai; Chunrong Fang; Bowen Yu; Weisong Sun; Zhenyu Chen,2023,arXiv,SE-G1 AND AI-G1,1,cs.SE,arXiv
A Deep Dive into Large Language Models for Automated Bug Localization and Repair,10.1145/3660773,"Hossain, Soneya Binta and Jiang, Nan and Zhou, Qiang and Li, Xiaopeng and Chiang, Wen-Hao and Lyu, Yingjun and Nguyen, Hoan and Tripp, Omer",2024,ACM+arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,FSE/ESEC; cs.SE,FSE
