Publication Year,Author,Title,Url,Date,Short Title,Venue,Archive,Primary Category,Modified,1 means Modified compared to last updated,Bibtex Finished
2023,"Jimenez, Carlos E.; Yang, John; Wettig, Alexander; Yao, Shunyu; Pei, Kexin; Press, Ofir; Narasimhan, Karthik",SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,http://arxiv.org/abs/2310.06770,20231011,SWE-bench,ICLR,Benchmark,Benchmark,0,,1
2024,"Tao, Wei; Zhou, Yucheng; Wang, Yanlin; Zhang, Wenqiang; Zhang, Hongyu; Cheng, Yu",MAGIS: LLM-Based Multi-Agent Framework for GitHub Issue Resolution,http://arxiv.org/abs/2403.17927,20240327,MAGIS,NeurIPS,E2E Agent,Scaffold/Method Design,0,,1
2024,"Zhang, Yuntong; Ruan, Haifeng; Fan, Zhiyu; Roychoudhury, Abhik",AutoCodeRover: Autonomous Program Improvement,http://arxiv.org/abs/2404.05427,20240425,AutoCodeRover,ISSTA,E2E Agent,Scaffold/Method Design,0,,1
2024,"Yang, John; Jimenez, Carlos E.; Wettig, Alexander; Lieret, Kilian; Yao, Shunyu; Narasimhan, Karthik; Press, Ofir",SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,http://arxiv.org/abs/2405.15793,20240511,SWE-agent,NeurIPS,E2E Agent,Scaffold/Method Design,0,,1
2024,"Mündler, Niels; Müller, Mark Niklas; He, Jingxuan; Vechev, Martin",SWT-Bench: Testing and Validating Real-World Bug-Fixes with Code Agents,http://arxiv.org/abs/2406.12952,20240607,SWT-Bench,NeurIPS,Benchmark,Benchmark,0,,1
2024,"Chen, Dong; Lin, Shaoxin; Zeng, Muhan; Zan, Daoguang; Wang, Jian-Gang; Cheshkov, Anton; Sun, Jun; Yu, Hao; Dong, Guoliang; Aliev, Artem; Wang, Jie; Cheng, Xiao; Liang, Guangtai; Ma, Yuchi; Bian, Pan; Xie, Tao; Wang, Qianxiang",CodeR: Issue Resolving with Multi-Agent and Task Graphs,http://arxiv.org/abs/2406.01304,20240611,CodeR,arXiv only,E2E Agent,Scaffold/Method Design,0,,1
2024,"Arora, Daman; Sonwane, Atharv; Wadhwa, Nalin; Mehrotra, Abhav; Utpala, Saiteja; Bairi, Ramakrishna; Kanade, Aditya; Natarajan, Nagarajan",MASAI: Modular Architecture for Software-engineering AI Agents,http://arxiv.org/abs/2406.11638,20240617,MASAI,NeurIPS,E2E Agent,Scaffold/Method Design,0,,1
2024,"Ma, Yingwei; Yang, Qingping; Cao, Rongyu; Li, Binhua; Huang, Fei; Li, Yongbin",Alibaba LingmaAgent: Improving Automated Issue Resolution via Comprehensive Repository Exploration,http://arxiv.org/abs/2406.01422,20240626,Alibaba LingmaAgent,FSE,E2E Agent,Scaffold/Method Design,0,,1
2024,"Wang, Xingyao; Li, Boxuan; Song, Yufan; Xu, Frank F.; Tang, Xiangru; Zhuge, Mingchen; Pan, Jiayi; Song, Yueqi; Li, Bowen; Singh, Jaskirat; Tran, Hoang H.; Li, Fuqiang; Ma, Ren; Zheng, Mingzhang; Qian, Bill; Shao, Yanjun; Muennighoff, Niklas; Zhang, Yizhe; Hui, Binyuan; Lin, Junyang; Brennan, Robert; Peng, Hao; Ji, Heng; Neubig, Graham",OpenHands: An Open Platform for AI Software Developers as Generalist Agents,http://arxiv.org/abs/2407.16741,20240704,OpenHands,ICLR,E2E Agent,Scaffold/Method Design,0,,1
2024,"Chakraborty, Partha; Alfadel, Mahmoud; Nagappan, Meiyappan",BLAZE: Cross-Language and Cross-Project Bug Localization via Dynamic Chunking and Hard Example Learning,http://arxiv.org/abs/2407.17631,20240719,BLAZE,TSE,Localization,Scaffold/Method Design,0,,1
2024,"Xia, Chunqiu Steven; Deng, Yinlin; Dunn, Soren; Zhang, Lingming",Demystifying LLM-based Software Engineering Agents,http://arxiv.org/abs/2407.01489,20240729,Agentless,FSE,E2E Pipeline,Scaffold/Method Design,1,,1
2024,"Ruan, Haifeng; Zhang, Yuntong; Roychoudhury, Abhik",SpecRover: Code Intent Extraction via LLMs,http://arxiv.org/abs/2408.02232,20240811,SpecRover,ICSE,E2E Agent,Scaffold/Method Design,0,,1
2024,"Liu, Xiangyan; Lan, Bo; Hu, Zhiyuan; Liu, Yang; Zhang, Zhicheng; Wang, Fei; Shieh, Michael; Zhou, Wenmeng",CodexGraph: Bridging Large Language Models and Code Repositories via Code Graph Databases,http://arxiv.org/abs/2408.03910,20240811,CodexGraph,NAACL,E2E Agent,Scaffold/Method Design,0,,1
2024,"Liu, Yizhou; Gao, Pengfei; Wang, Xinchen; Liu, Jie; Shi, Yexuan; Zhang, Zhao; Peng, Chao",MarsCode Agent: AI-native Automated Bug Fixing,http://arxiv.org/abs/2409.00899,20240904,MarsCode Agent,arXiv only,E2E Agent,Scaffold/Method Design,0,,1
2024,"Zhang, Kexun; Yao, Weiran; Liu, Zuxin; Feng, Yihao; Liu, Zhiwei; Murthy, Rithesh; Lan, Tian; Li, Lei; Lou, Renze; Xu, Jiacheng; Pang, Bo; Zhou, Yingbo; Heinecke, Shelby; Savarese, Silvio; Wang, Huan; Xiong, Caiming",Diversity Empowers Intelligence: Integrating Expertise of Software Engineering Agents,http://arxiv.org/abs/2408.07060,20240813,Diversity Empowers Intelligence,ICLR,Empirical,Empirical,0,,1
2024,"Zan, Daoguang; Huang, Zhirong; Yu, Ailun; Lin, Shaoxin; Shi, Yifan; Liu, Wei; Chen, Dong; Qi, Zongshuai; Yu, Hao; Yu, Lei; Ran, Dezhi; Zeng, Muhan; Shen, Bo; Bian, Pan; Liang, Guangtai; Guan, Bei; Huang, Pengjie; Xie, Tao; Wang, Yongji; Wang, Qianxiang",SWE-bench-java: A GitHub Issue Resolving Benchmark for Java,http://arxiv.org/abs/2408.14354,20240826,SWE-bench-java,arXiv only,Benchmark,Benchmark,0,,1
2024,"Phan, Huy Nhat; Nguyen, Tien N.; Nguyen, Phong X.; Bui, Nghi D. Q.",HyperAgent: Generalist Software Engineering Agents to Solve Coding Tasks at Scale,http://arxiv.org/abs/2409.16299,20240905,HyperAgent,arXiv only,E2E Agent,Scaffold/Method Design,0,,1
2024,"Gautam, Anmol; Kumar, Kishore; Jha, Adarsh; NS, Mukunda; Bhola, Ishaan",SuperCoder2.0: Technical Report on Exploring the feasibility of LLMs as Autonomous Programmer,http://arxiv.org/abs/2409.11190,20240927,SuperCoder2.0,arXiv only,E2E Agent,Scaffold/Method Design,0,,1
2024,"Ouyang, Siru; Yu, Wenhao; Ma, Kaixin; Xiao, Zilin; Zhang, Zhihan; Jia, Mengzhao; Han, Jiawei; Zhang, Hongming; Yu, Dong",RepoGraph: Enhancing AI Software Engineering with Repository-level Code Graph,http://arxiv.org/abs/2410.14684,20241003,RepoGraph,ICLR,E2E Pipeline,Scaffold/Method Design,0,,1
2024,"Jain, Kush; Synnaeve, Gabriel; Rozière, Baptiste",TestGenEval: A Real World Unit Test Generation and Test Completion Benchmark,http://arxiv.org/abs/2410.00752,20241001,TestGenEval,ICLR,Benchmark,Benchmark,0,,1
2024,"Antoniades, Antonis; Örwall, Albert; Zhang, Kexun; Xie, Yuxi; Goyal, Anirudh; Wang, William",SWE-Search: Enhancing Software Agents with Monte Carlo Tree Search and Iterative Refinement,http://arxiv.org/abs/2410.20285,20241017,SWE-Search,ICLR,E2E Agent,Scaffold/Method Design,0,,1
2024,"Yang, John; Jimenez, Carlos E.; Zhang, Alex L.; Lieret, Kilian; Yang, Joyce; Wu, Xindi; Press, Ori; Muennighoff, Niklas; Synnaeve, Gabriel; Narasimhan, Karthik R.; Yang, Diyi; Wang, Sida I.; Press, Ofir",SWE-bench Multimodal: Do AI Systems Generalize to Visual Software Domains?,http://arxiv.org/abs/2410.03859,20241004,SWE-bench Multimodal,ICLR,Benchmark,Benchmark,0,,1
2024,"Aleithan, Reem; Xue, Haoran; Mohajer, Mohammad Mahdi; Nnorom, Elijah; Uddin, Gias; Wang, Song",SWE-Bench+: Enhanced Coding Benchmark for LLMs,http://arxiv.org/abs/2410.06992,20241010,SWE-Bench+,arXiv only,Benchmark,Benchmark,0,,1
2024,"Lei, Bin; Li, Yuchen; Zeng, Yiming; Ren, Tao; Luo, Yi; Shi, Tianyu; Gao, Zitian; Hu, Zeyu; Kang, Weitai; Chen, Qiuwu","Infant Agent: A Tool-Integrated, Logic-Driven Agent with Cost-Effective API Usage",http://arxiv.org/abs/2411.01114,20241102,Infant Agent,arXiv only,E2E Agent,Scaffold/Method Design,0,,1
2024,"Chen, Zhi; Jiang, Lingxiao","Evaluating Software Development Agents: Patch Patterns, Code Quality, and Issue Complexity in Real-World GitHub Scenarios",http://arxiv.org/abs/2410.12468,20241027,Evaluating Software Development Agents,SANER,Empirical,Empirical,0,,1
2024,"Ma, Yingwei; Cao, Rongyu; Cao, Yongchang; Zhang, Yue; Chen, Jue; Liu, Yibo; Liu, Yuchen; Li, Binhua; Huang, Fei; Li, Yongbin",Lingma SWE-GPT: An Open Development-Process-Centric Language Model for Automated Software Improvement,http://arxiv.org/abs/2411.00622,20241101,Lingma SWE-GPT,arXiv only,E2E Pipeline/ Train,Training,1,,1
2025,"Su, Hongjin; Sun, Ruoxi; Yoon, Jinsung; Yin, Pengcheng; Yu, Tao; Arık, Sercan Ö",Learn-by-interact: A Data-Centric Framework for Self-Adaptive Agents in Realistic Environments,http://arxiv.org/abs/2501.10893,20250118,Learn-by-interact,ICLR,E2E Agent,Scaffold/Method Design,0,,1
2024,"Meng, Xiangxin; Ma, Zexiong; Gao, Pengfei; Peng, Chao",An Empirical Study on LLM-based Agents for Automated Bug Fixing,http://arxiv.org/abs/2411.10213,20241115,,arXiv only,Empirical,Empirical,1,,1
2024,"Lin, Yalan; Ma, Yingwei; Cao, Rongyu; Li, Binhua; Huang, Fei; Gu, Xiaodong; Li, Yongbin",LLMs as Continuous Learners: Improving the Reproduction of Defective Code in Software Issues,http://arxiv.org/abs/2411.13941,20241121,LLMs as Continuous Learners,arXiv only,Reproduction,Scaffold/Method Design,0,,1
2024,"Wang, Xinchen; Gao, Pengfei; Meng, Xiangxin; Peng, Chao; Hu, Ruida; Lin, Yun; Gao, Cuiyun",AEGIS: An Agent-based Framework for General Bug Reproduction from Issue Descriptions,http://arxiv.org/abs/2411.18015,20241127,AEGIS,FSE,Reproduction,Scaffold/Method Design,0,,1
2024,"Hu, Ruida; Peng, Chao; Ren, Jingyi; Jiang, Bo; Meng, Xiangxin; Wu, Qinyun; Gao, Pengfei; Wang, Xinchen; Gao, Cuiyun",A Real-World Benchmark for Evaluating Fine-Grained Issue Solving Capabilities of Large Language Models,http://arxiv.org/abs/2411.18019,20241127,,arXiv only,Benchmark,Benchmark,0,,1
2024,"Jain, Naman; Shetty, Manish; Zhang, Tianjun; Han, King; Sen, Koushik; Stoica, Ion",R2E: Turning any GitHub Repository into a Programming Agent Environment,,202407,,ICML,Train Dataset,Training,0,,1
2024,"Ahmed, Toufique; Hirzel, Martin; Pan, Rangeet; Shinnar, Avraham; Sinha, Saurabh",TDD-Bench Verified: Can LLMs Generate Tests for Issues Before They Get Resolved?,http://arxiv.org/abs/2412.02883,20241203,TDD-Bench Verified,arXiv only,Benchmark,Benchmark,0,,1
2024,"Feng, etc.",Integrating Various Software Artifacts for Better LLM-based Bug Localization and Program Repair,https://arxiv.org/abs/2412.03905,20241205,,TOSEM,Localization,Scaffold/Method Design,0,,1
2024,"Zhang, Linhao; Zan, Daoguang; Yang, Quanshun; Huang, Zhirong; Chen, Dong; Shen, Bo; Liu, Tianyu; Gong, Yongshun; Huang, Pengjie; Lu, Xudong; Liang, Guangtai; Cui, Lizhen; Wang, Qianxiang",CodeV: Issue Resolving with Visual Data,http://arxiv.org/abs/2412.17315,20241223,CodeV,ACL,Benchmark/E2E Pipeline,Benchmark,0,,1
2024,"Ma, Zexiong; An, Shengnan; Lin, Zeqi; Zou, Yanzhen; Xie, Bing",Repository Structure-Aware Training Makes SLMs Better Issue Resolver,http://arxiv.org/abs/2412.19031,20241226,,arXiv only,Train,Training,0,,1
2024,"Pan, Jiayi; Wang, Xingyao; Neubig, Graham; Jaitly, Navdeep; Ji, Heng; Suhr, Alane; Zhang, Yizhe",Training Software Engineering Agents and Verifiers with SWE-Gym,http://arxiv.org/abs/2412.21139,20241230,,ICML,Train Dataset,Training,0,,1
2025,"Xie, Chengxing; Li, Bowen; Gao, Chang; Du, He; Lam, Wai; Zou, Difan; Chen, Kai",SWE-Fixer: Training Open-Source LLMs for Effective and Efficient GitHub Issue Resolution,http://arxiv.org/abs/2501.05040,20250120,SWE-Fixer,ACL,Train,Training,0,,1
2025,"Yadavally, Aashish; Nguyen, Hoan; Callot, Laurent; Guinet, Gauthier",Large Language Model Critics for Execution-Free Evaluation of Code Changes,http://arxiv.org/abs/2501.16655,20250128,,arXiv only,Empirical,Empirical,0,,1
2025,"Yu, Zhongming; Zhang, Hejia; Zhao, Yujie; Huang, Hanxian; Yao, Matrix; Ding, Ke; Zhao, Jishen",OrcaLoca: An LLM Agent Framework for Software Issue Localization,http://arxiv.org/abs/2502.00350,20250201,OrcaLoca,ICML,Localization,Scaffold/Method Design,0,,1
2025,"Cheng, Runxiang; Tufano, Michele; Cito, Jürgen; Cambronero, José; Rondon, Pat; Wei, Renyao; Sun, Aaron; Chandra, Satish",Agentic Bug Reproduction for Effective Automated Program Repair at Google,http://arxiv.org/abs/2502.01821,20250203,,arXiv only,Reproduction,Scaffold/Method Design,0,,1
2025,"Ehrlich, Ryan; Brown, Bradley; Juravsky, Jordan; Clark, Ronald; Ré, Christopher; Mirhoseini, Azalia",CodeMonkeys: Scaling Test-Time Compute for Software Engineering,http://arxiv.org/abs/2501.14723,20250203,CodeMonkeys,arXiv only,E2E Pipeline,Scaffold/Method Design,0,,1
2025,"Li, Hongwei; Tang, Yuheng; Wang, Shiqi; Guo, Wenbo",PatchPilot: A Stable and Cost-Efficient Agentic Patching Framework,http://arxiv.org/abs/2502.02747,20250204,PatchPilot,ICML,E2E Pipeline,Scaffold/Method Design,0,,1
2025,"Ahmed, Toufique; Ganhotra, Jatin; Pan, Rangeet; Shinnar, Avraham; Sinha, Saurabh; Hirzel, Martin",Otter: Generating Tests from Issues to Validate SWE Patches,http://arxiv.org/abs/2502.05368,20250207,Otter,ICML,Reproduction,Scaffold/Method Design,0,,1
2025,"Vijayvargiya, Sanidhya; Zhou, Xuhui; Yerukola, Akhila; Sap, Maarten; Neubig, Graham",Ambig-swe: Interactive agents to overcome underspecificity in software engineering,http://arxiv.org/abs/2502.13069,20250218,,ICLR,Empirical,Empirical,1,,1
2025,"Chang, Jianming; Zhou, Xin; Wang, Lulu; Lo, David; Li, Bixin",Bridging Bug Localization and Issue Fixing: A Hierarchical Localization Framework Leveraging Large Language Models,http://arxiv.org/abs/2502.15292,20250221,Bridging Bug Localization and Issue Fixing,TSE,Localization,Scaffold/Method Design,0,,1
2025,"Wei, Yuxiang; Duchenne, Olivier; Copet, Jade; Carbonneaux, Quentin; Zhang, Lingming; Fried, Daniel; Synnaeve, Gabriel; Singh, Rishabh; Wang, Sida I.",SWE-RL: Advancing LLM Reasoning via Reinforcement Learning on Open Software Evolution,http://arxiv.org/abs/2502.18449,20250225,SWE-RL,NeurIPS,Train,Training,0,,1
2025,"Ma, Zexiong; Peng, Chao; Gao, Pengfei; Meng, Xiangxin; Zou, Yanzhen; Xie, Bing",SoRFT: Issue Resolving with Subtask-oriented Reinforced Fine-Tuning,http://arxiv.org/abs/2502.20127,20250227,SoRFT,ACL,Train,Training,0,,1
2025,"Suresh, Tarun; Reddy, Revanth Gangi; Xu, Yifei; Nussbaum, Zach; Mulyar, Andriy; Duderstadt, Brandon; Ji, Heng",CORNSTACK: HIGH-QUALITY CONTRASTIVE DATA FOR BETTER CODE RETRIEVAL AND RERANKING,,202503,,ICLR,Localization,Scaffold/Method Design,0,,1
2025,"Ma, Yingwei; Li, Yongbin; Dong, Yihong; Jiang, Xue; Cao, Rongyu; Chen, Jue; Huang, Fei; Li, Binhua","Thinking Longer, Not Larger: Enhancing Software Engineering Agents via Scaling Test-Time Compute",http://arxiv.org/abs/2503.23803,20250308,"Thinking Longer, Not Larger",ASE,Train,Training,0,,1
2025,"Li, Wei; Zhang, Xin; Guo, Zhongxin; Mao, Shaoguang; Luo, Wen; Peng, Guangyue; Huang, Yangyu; Wang, Houfeng; Li, Scarlett",FEA-Bench: A Benchmark for Evaluating Repository-Level Code Generation for Feature Implementation,http://arxiv.org/abs/2503.06680,20250309,FEA-Bench,ACL,Benchmark,Benchmark,0,,1
2025,"Vergopoulos, Konstantinos; Müller, Mark Niklas; Vechev, Martin",Automated Benchmark Generation for Repository-Level Coding Tasks,http://arxiv.org/abs/2503.07701,20250310,,ICML,Benchmark,Benchmark,0,,1
2025,"Chen, Zhaoling; Tang, Xiangru; Deng, Gangda; Wu, Fang; Wu, Jialong; Jiang, Zhiwei; Prasanna, Viktor; Cohan, Arman; Wang, Xingyao",LocAgent: Graph-Guided LLM Agents for Code Localization,http://arxiv.org/abs/2503.09089,20250312,LocAgent,ACL,Localization,Scaffold/Method Design,0,,1
2025,"Zhi Chen, Wei Ma, Lingxiao Jiang",Beyond Final Code: A Process-Oriented Error Analysis of Software Development Agents in Real-World GitHub Scenarios,https://arxiv.org/abs/2503.12374,20250316,,ICSE,Empirical,Empirical,0,,1
2025,"Aggarwal, Vaibhav; Kamal, Ojasv; Japesh, Abhinav; Jin, Zhijing; Schölkopf, Bernhard",DARS: Dynamic Action Re-Sampling to Enhance Coding Agent Performance by Adaptive Tree Traversal,http://arxiv.org/abs/2503.14269,20250318,DARS,ACL,E2E Agent,Scaffold/Method Design,0,,1
2025,"Wang, You; Pradel, Michael; Liu, Zhongxin","Are ""Solved Issues"" in SWE-bench Really Solved Correctly? An Empirical Study",http://arxiv.org/abs/2503.15223,20250319,"Are ""Solved Issues"" in SWE-bench Really Solved Correctly?",ICSE,Empirical,Empirical,1,,1
2025,"Nashid, Noor; Bouzenia, Islem; Pradel, Michael; Mesbah, Ali",Issue2Test: Generating Reproducing Test Cases from Issue Reports,http://arxiv.org/abs/2503.16320,20250320,Issue2Test,ICSE,Reproduction,Scaffold/Method Design,0,,1
2025,"Zhang, Kechi; Zhang, Huangzhao; Li, Ge; You, Jinliang; Li, Jia; Zhao, Yunfei; Jin, Zhi",SEAlign: Alignment Training for Software Engineering Agent,http://arxiv.org/abs/2503.18455,20250324,SEAlign,ICSE,Train,Training,0,,1
